"","X","Speaker","Gloss","Date"
"1",3,"MOT","come here .","28-OCT-1963"
"2",4,"CHI","xxx .","28-OCT-1963"
"3",6,"CHI","xxx .","28-OCT-1963"
"4",9,"CHI","a nose .","28-OCT-1963"
"5",12,"CHI","a eye .","28-OCT-1963"
"6",13,"MOT","0 .","28-OCT-1963"
"7",14,"CHI","hair .","28-OCT-1963"
"8",15,"MOT","hair .","28-OCT-1963"
"9",16,"MOT","where's your teeth ?","28-OCT-1963"
"10",17,"MOT","oh what's this ?","28-OCT-1963"
"11",18,"MOT","what's this in here ?","28-OCT-1963"
"12",19,"MOT","what's this in here ?","28-OCT-1963"
"13",20,"MOT","what's that ?","28-OCT-1963"
"14",21,"CHI","a yyy .","28-OCT-1963"
"15",22,"MOT","what is it ?","28-OCT-1963"
"16",23,"MOT","what's this ?","28-OCT-1963"
"17",24,"CHI","yyy yyy .","28-OCT-1963"
"18",25,"MOT","what's this ?","28-OCT-1963"
"19",26,"CHI","teeth .","28-OCT-1963"
"20",27,"MOT","teeth .","28-OCT-1963"
"21",28,"MOT","what's this ?","28-OCT-1963"
"22",29,"CHI","a yyy .","28-OCT-1963"
"23",30,"MOT","mhm .","28-OCT-1963"
"24",31,"MOT","and what's this ?","28-OCT-1963"
"25",32,"CHI","a shoe .","28-OCT-1963"
"26",33,"MOT","what's that ?","28-OCT-1963"
"27",34,"CHI","a xxx .","28-OCT-1963"
"28",35,"MOT","what's this ?","28-OCT-1963"
"29",36,"CHI","a p pant .","28-OCT-1963"
"30",37,"CHI","my pants .","28-OCT-1963"
"31",38,"MOT","and what's this ?","28-OCT-1963"
"32",39,"CHI","ear .","28-OCT-1963"
"33",40,"MOT","hm ?","28-OCT-1963"
"34",41,"CHI","ear .","28-OCT-1963"
"35",42,"MOT","ear .","28-OCT-1963"
"36",43,"MOT","and what's this ?","28-OCT-1963"
"37",44,"CHI","a hair pin .","28-OCT-1963"
"38",45,"CHI","xxx .","28-OCT-1963"
"39",46,"MOT","what's this ?","28-OCT-1963"
"40",47,"CHI","xxx .","28-OCT-1963"
"41",48,"MOT","xxx .","28-OCT-1963"
"42",49,"CHI","a bobby .","28-OCT-1963"
"43",50,"MOT","bobby .","28-OCT-1963"
"44",51,"MOT","and what's this ?","28-OCT-1963"
"45",52,"CHI","nose .","28-OCT-1963"
